cal_date,hub_id,rider_no,parcel_no
2021-02-03,108,27,2024
2021-02-03,216,44,9079
2021-02-01,437,12,448
2021-02-02,1009,11,1082
2021-02-02,1170,2,71
2021-02-03,606,7,212
2021-02-04,177,11,277
2021-02-05,554,6,214
2021-02-05,1005,9,582
2021-02-06,285,10,799
2021-02-07,1005,6,189
2021-02-09,558,10,397
2021-02-09,177,13,353
2021-02-16,177,5,10
2021-02-17,42,14,697
2021-02-18,216,34,8732
2021-02-19,337,1,0
2021-02-22,666,15,596
2021-02-22,277,19,900
2021-02-22,1230,24,2927
2021-02-22,177,10,360
2021-02-23,216,34,8332
2021-02-23,662,10,259
2021-02-23,125,27,2536
2021-02-24,125,27,2627
2021-02-24,277,24,941
2021-02-26,1222,8,566
2021-02-26,1126,2,110
2021-02-27,1178,9,496
2021-02-27,1005,9,426
2021-02-27,108,30,1346
2021-02-27,437,12,238
2021-02-28,108,7,25
2021-02-28,277,17,278
2021-02-01,1087,1,32
2021-02-02,433,4,264
2021-02-03,277,23,1053
2021-02-03,762,3,920
2021-02-05,381,6,275
2021-02-05,277,19,1012
2021-02-17,437,4,69
2021-02-18,658,3,137
2021-02-20,1018,5,143
2021-02-25,658,3,76
2021-02-26,1170,2,38
2021-02-26,329,5,232
2021-02-27,329,5,199
2021-02-05,1130,1,38
2021-02-07,606,4,128
2021-02-25,610,3,124
2021-02-27,614,6,80
2021-02-02,1130,1,26
2021-02-24,658,3,248
2021-02-06,1074,3,105
2021-02-21,666,1,27
2021-02-26,433,5,259
2021-02-05,337,1,0
2021-02-20,1026,1,43
2021-02-06,1026,1,16
2021-02-18,1130,1,24
2021-06-01,666,8,443
2021-06-01,1170,2,57
2021-06-02,337,3,203
2021-06-04,433,6,374
2021-06-05,277,14,859
2021-06-09,125,33,2831
2021-06-09,285,11,1214
2021-06-09,441,5,396
2021-06-10,125,34,3125
2021-06-10,216,39,9330
2021-06-11,658,3,286
2021-06-12,606,7,77
2021-06-14,381,11,461
2021-06-14,108,18,1593
2021-06-16,177,7,249
2021-06-16,112,28,4458
2021-06-17,1087,1,16
2021-06-17,1261,7,348
2021-06-18,108,16,1827
2021-06-19,112,32,3556
2021-06-19,1070,17,940
2021-06-20,125,29,1733
2021-06-21,1074,3,142
2021-06-22,1009,12,1252
2021-06-23,1222,9,514
2021-06-23,103266,3,190
2021-06-24,558,10,1299
2021-06-25,693,4,546
2021-06-26,42,17,843
2021-06-26,337,3,192
2021-06-27,437,1,259
2021-06-01,108,14,686
2021-06-02,1170,2,34
2021-06-02,1074,3,76
2021-06-04,614,5,97
2021-06-05,437,15,479
2021-06-07,1001,1,44
2021-06-07,1174,1,63
2021-06-12,693,4,361
2021-06-13,381,11,376
2021-06-14,614,7,225
2021-06-16,337,3,181
2021-06-16,762,3,326
2021-06-21,1213,5,393
2021-06-22,12,6,3989
2021-06-22,1213,5,332
2021-06-22,289,6,226
2021-06-24,177,7,181
2021-06-25,441,5,210
2021-06-26,108,15,833
2021-06-27,112,8,0
2021-06-29,762,4,189
2021-06-30,1222,9,492
2021-06-30,762,4,454
2021-06-02,1261,6,328
2021-06-08,441,5,376
2021-06-10,554,6,451
2021-06-13,606,5,179
2021-06-19,1074,3,105
2021-06-24,1213,5,307
2021-06-24,441,5,288
2021-06-24,1001,1,0
2021-06-26,385,7,367
2021-06-27,103266,1,0
2021-06-28,285,9,618
2021-06-30,1195,6,244
2021-06-02,1001,1,18
2021-06-17,1213,5,401
2021-06-18,285,9,588
2021-06-24,12,6,5094
2021-06-25,1170,2,33
2021-06-27,1230,7,517
2021-06-11,606,6,392
2021-06-11,1174,1,358
2021-06-22,1170,2,50
2021-06-06,289,1,0
2021-06-23,329,1,0
2021-06-27,12,1,1944
2021-06-30,281,1,19
2021-06-10,658,3,266
2021-06-12,1126,2,127
2021-06-28,1078,1,35
2021-06-04,1078,1,37
2021-06-25,1078,1,42
2021-06-10,1170,2,59
2021-06-23,1130,1,16
2020-12-01,433,4,162
2020-12-01,108,23,1396
2020-12-01,606,5,135
2020-12-02,1009,10,698
2020-12-02,281,14,837
2020-12-03,437,9,331
2020-12-04,1005,7,308
2020-12-04,1170,2,32
2020-12-04,108,16,1339
2020-12-05,277,13,512
2020-12-05,108,17,1152
2020-12-06,1230,23,861
2020-12-07,125,32,3327
2020-12-11,662,10,400
2020-12-11,42,14,845
2020-12-11,1230,29,1803
2020-12-12,1070,15,1017
2020-12-12,281,15,887
2020-12-13,177,9,143
2020-12-14,389,3,178
2020-12-15,1230,35,9316
2020-12-15,666,7,333
2020-12-16,112,54,7718
2020-12-15,329,6,237
2020-12-16,666,11,469
2020-12-16,1005,10,659
2020-12-17,762,3,729
2020-12-18,125,34,2453
2020-12-18,108,33,2312
2020-12-19,1018,2,144
2020-12-19,1022,4,161
2020-12-21,277,14,764
2020-12-23,12,6,4351
2020-12-23,1018,2,127
2020-12-25,289,11,405
2020-12-26,1230,29,1529
2020-12-28,662,9,684
2020-12-28,1018,2,132
2020-12-29,554,6,210
2020-12-29,281,16,1417
2020-12-30,1022,3,141
2020-12-01,1130,1,33
2020-12-05,389,2,53
2020-12-08,1074,3,51
2020-12-09,1022,3,127
2020-12-17,662,10,609
2020-12-17,558,9,779
2020-12-17,1074,3,52
2020-12-17,554,6,278
2020-12-19,437,8,232
2020-12-22,554,6,221
2020-12-23,1074,3,56
2020-12-23,554,5,219
2020-12-25,381,4,180
2020-12-26,285,7,433
2020-12-26,693,4,208
2020-12-29,289,7,257
2020-12-29,125,30,1723
2020-12-29,1087,1,33
2020-12-04,285,7,374
2020-12-07,762,3,561
2020-12-12,381,4,95
2020-12-16,1178,9,609
2020-12-04,1001,1,19
2020-12-15,1170,2,78
2020-12-15,1022,3,114
2020-12-20,177,1,10
2020-12-24,610,3,117
2020-12-25,610,3,105
2020-12-05,606,5,127
2020-12-16,1001,1,10
2020-12-19,1087,1,4
2020-12-23,1170,2,30
2020-12-16,693,3,237
2020-12-24,793,1,2
2020-12-20,333,1,35
2020-12-26,333,1,20
2020-12-20,12,1,5004
2020-12-22,1087,1,22
2020-12-23,1174,1,484
2020-12-31,1174,1,329
2020-12-19,1078,1,8
2020-12-21,1130,1,24
2021-07-01,285,9,349
2021-07-01,108,16,540
2021-07-01,112,27,1329
2021-07-02,558,12,655
2021-07-02,1009,11,698
2021-07-02,381,10,275
2021-07-05,1018,5,110
2021-07-06,125,41,2895
2021-07-10,216,46,10066
2021-07-10,12,5,2115
2021-07-10,1195,5,275
2021-07-10,441,5,413
2021-07-11,1230,15,984
2021-07-11,281,12,647
2021-07-11,610,1,45
2021-07-12,277,18,961
2021-07-12,1230,24,3520
2021-07-12,112,34,3567
2021-07-13,610,3,129
2021-07-13,177,7,201
2021-07-14,1078,1,27
2021-07-14,693,4,313
2021-07-14,385,7,429
2021-07-14,658,3,138
2021-07-15,1261,8,439
2021-07-15,42,17,1332
2021-07-15,693,4,508
2021-07-15,125,36,3052
2021-07-16,558,10,937
2021-07-17,554,6,169
2021-07-17,1213,5,267
2021-07-17,606,6,278
2021-07-18,1009,11,586
2021-07-18,216,31,1909
2021-07-19,1178,10,295
2021-07-19,662,5,133
2021-07-20,108,12,589
2021-07-20,385,8,403
2021-07-20,441,5,351
2021-07-20,437,15,943
2021-07-21,1009,12,876
2021-07-22,177,8,255
2021-07-24,42,18,1033
2021-07-26,1222,9,630
2021-07-28,125,31,1098
2021-07-29,337,3,137
2021-07-29,610,3,79
2021-07-30,1022,3,58
2021-07-31,177,7,97
2021-07-03,337,3,120
2021-07-05,437,16,507
2021-07-10,433,6,395
2021-07-11,1213,5,191
2021-07-11,385,2,67
2021-07-12,1274,5,414
2021-07-12,1074,4,121
2021-07-17,658,3,147
2021-07-20,389,4,122
2021-07-20,662,4,277
2021-07-22,1074,4,95
2021-07-23,554,6,158
2021-07-23,1009,12,849
2021-07-24,1022,4,105
2021-07-24,1070,18,1096
2021-07-01,12,6,840
2021-07-02,1126,2,54
2021-07-03,1087,1,11
2021-07-06,801,7,6085
2021-07-07,1274,5,230
2021-07-07,1074,5,77
2021-07-09,558,11,1907
2021-07-11,333,2,30
2021-07-13,1074,4,142
2021-07-15,762,4,434
2021-07-19,329,6,263
2021-07-24,1018,5,127
2021-07-26,614,6,203
2021-07-29,1213,5,149
2021-07-09,1087,1,13
2021-07-11,285,1,1
