cal_date,shipper_group,hub_name,total_orders,total_orders_kpi,first_mile_canceled_order,pu_success_ontime,pu_success_late,pending_pu_not_due,pending_pu_late,first_attempt_ontime,first_attempt_late,first_mile_cancelled_rate,first_attempt_ontime_rate_kpi,pu_success_ontime_rate
7/31/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,9,9,1,2,6,0,0,8,1,0.1111,0.8889,0.2222
7/31/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,342,332,69,73,182,0,18,196,136,0.2018,0.5904,0.2135
7/30/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,63,63,3,58,2,0,0,62,1,0.0476,0.9841,0.9206
7/30/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,311,306,52,150,94,0,15,252,54,0.1672,0.8235,0.4823
7/29/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,102,102,10,55,37,0,0,72,30,0.098,0.7059,0.5392
7/29/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,371,365,122,10,224,0,15,341,24,0.3288,0.9342,0.027
7/28/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,133,133,6,3,124,0,0,105,28,0.0451,0.7895,0.0226
7/28/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,364,363,135,40,177,0,12,354,9,0.3709,0.9752,0.1099
7/27/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,250,249,50,1,199,0,0,211,38,0.2,0.8474,0.004
7/27/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,413,409,165,44,169,0,35,375,34,0.3995,0.9169,0.1065
7/26/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,99,99,28,35,35,0,1,44,55,0.2828,0.4444,0.3535
7/26/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,723,718,169,164,326,0,64,619,99,0.2337,0.8621,0.2268
7/25/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,41,40,26,6,9,0,0,10,30,0.6341,0.25,0.1463
7/25/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,1141,1134,157,87,858,0,39,567,567,0.1376,0.5,0.0762
7/24/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,28,28,5,15,8,0,0,22,6,0.1786,0.7857,0.5357
7/24/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,495,494,83,336,51,0,25,489,5,0.1677,0.9899,0.6788
7/23/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,56,56,0,29,26,0,1,52,4,0.00E+00,0.9286,0.5179
7/23/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,512,502,40,372,48,0,52,448,54,0.0781,0.8924,0.7266
7/22/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,66,62,6,32,27,0,1,59,3,0.0909,0.9516,0.4848
7/22/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,428,423,36,330,53,0,9,419,4,0.0841,0.9905,0.771
7/21/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,59,57,8,21,28,0,2,56,1,0.1356,0.9825,0.3559
7/21/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,543,537,34,452,55,0,2,534,3,0.0626,0.9944,0.8324
7/20/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,93,93,1,69,22,0,1,89,4,0.0108,0.957,0.7419
7/20/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,571,565,27,451,92,0,1,551,14,0.0473,0.9752,0.7898
7/19/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,76,76,3,38,35,0,0,74,2,0.0395,0.9737,0.5
7/19/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,725,710,66,555,104,0,0,694,16,0.091,0.9775,0.7655
7/18/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,72,70,4,39,29,0,0,70,0,0.0556,1,0.5417
7/18/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,541,529,30,322,189,0,0,512,17,0.0555,0.9679,0.5952
7/17/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,69,68,6,46,17,0,0,66,2,0.087,0.9706,0.6667
7/17/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,551,543,35,412,102,0,2,531,12,0.0635,0.9779,0.7477
7/16/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,63,63,11,31,20,0,1,63,0,0.1746,1,0.4921
7/16/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,647,642,27,551,67,0,2,638,4,0.0417,0.9938,0.8516
7/15/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,33,33,5,9,19,0,0,32,1,0.1515,0.9697,0.2727
7/15/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,730,721,49,401,279,0,1,720,1,0.0671,0.9986,0.5493
7/14/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,63,63,10,25,27,0,1,57,6,0.1587,0.9048,0.3968
7/14/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,662,657,40,488,122,0,12,653,4,0.0604,0.9939,0.7372
7/13/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,78,78,21,30,26,0,1,77,1,0.2692,0.9872,0.3846
7/13/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,607,601,41,473,93,0,0,594,7,0.0675,0.9884,0.7792
7/12/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,86,86,10,34,42,0,0,43,43,0.1163,0.5,0.3953
7/12/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,818,809,53,592,173,0,0,665,144,0.0648,0.822,0.7237
7/11/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,27,27,6,10,11,0,0,17,10,0.2222,0.6296,0.3704
7/11/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,397,383,55,149,193,0,0,320,63,0.1385,0.8355,0.3753
7/10/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,140,137,11,73,55,0,1,93,44,0.0786,0.6788,0.5214
7/10/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,724,721,75,390,259,0,0,699,22,0.1036,0.9695,0.5387
7/9/2021,Non-Shopee,HCM - Binh Thanh 1 - SOU - DP,89,85,13,66,10,0,0,74,11,0.1461,0.8706,0.7416
