cal_date,hub_name,shipper_group,fm_orders,first_mile_cancelled_rate,first_pu_ontime_rate,pu_success_ontime_rate
2021-08-15,HCM - Go Vap A - SOU - DP,DS,36,0E-8,0.08330000,0.08330000
2021-08-15,HCM - Go Vap B - SOU - DP,DS,2,0E-8,0E-8,0E-8
2021-08-15,THH - Thanh Hoa - NOR,DS,3,0E-8,1.00000000,0E-8
2021-08-15,HN - Bac Tu Liem - NOR - DP,DS,39,0.15560000,1.00000000,0.28890000
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,DS,38,0.13640000,0.94740000,0.81820000
2021-08-15,HCM - Phu Nhuan - SOU - DP,DS,2,0E-8,0E-8,0E-8
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,DS,19,0E-8,1.00000000,0.84210000
2021-08-15,HN - Ba Dinh - NOR - DP,DS,22,0.08330000,1.00000000,0.79170000
2021-08-15,HCM - District 10 - SOU - DP,DS,11,0E-8,1.00000000,1.00000000
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,DS,24,0.07690000,1.00000000,0.88460000
2021-08-15,NAD - Nam Dinh - NOR,DS,9,0.20000000,1.00000000,0.60000000
2021-08-15,NAD - Nam Dinh - NOR,EN,3,0.25000000,1.00000000,0.75000000
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,EN,8,0E-8,0.12500000,0.12500000
2021-08-15,HN - Bac Tu Liem - NOR - DP,EN,20,0.13040000,1.00000000,0.86960000
2021-08-15,LA - Long An - SOU,ES,10,0E-8,1.00000000,0.60000000
2021-08-15,SOL - Moc Chau - NOR - SUB 2,Lazada Master Account (ASC),2,0E-8,1.00000000,1.00000000
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,Lazada Master Account (ASC),9,0E-8,1.00000000,0.55560000
2021-08-15,DAK - Buon Ho - SOU - SUB 2,Lazada Master Account (ASC),78,0E-8,1.00000000,0.98720000
2021-08-15,HN - Ba Dinh - NOR - DP,Lazada Master Account (ASC),15,0E-8,0.80000000,0.40000000
2021-08-15,HCM - District 10 - SOU - DP,Lazada Master Account (ASC),46,0.02170000,0.63040000,0.54350000
2021-08-15,HCM - Go Vap A - SOU - DP,Lazada Master Account (ASC),18,0E-8,0.50000000,0.50000000
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,Lazada Master Account (ASC),9,0E-8,1.00000000,0.88890000
2021-08-15,NAD - Nam Dinh - NOR,Lazada Master Account (ASC),705,0E-8,1.00000000,0.98580000
2021-08-15,LA - Long An - SOU,Lazada Master Account (ASC),39,0E-8,0.94870000,0.94870000
2021-08-15,HCM - Phu Nhuan - SOU - DP,Lazada Master Account (ASC),4,0E-8,0.50000000,0.50000000
2021-08-15,LAD - Bao Loc - SOU - SUB 2,Lazada Master Account (ASC),14,0.13330000,1.00000000,0.80000000
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,Lazada Master Account (ASC),3,0E-8,1.00000000,0.33330000
2021-08-15,THH - Thanh Hoa - NOR,Lazada Master Account (ASC),209,0E-8,1.00000000,0.98090000
2021-08-15,HN - Bac Tu Liem - NOR - DP,Lazada Master Account (ASC),57,0E-8,1.00000000,0.71930000
2021-08-15,PTH - Tam Nong - NOR - SUB 2,Lazada Master Account (ASC),138,0E-8,0.23190000,0.15220000
2021-08-15,HCM - Go Vap B - SOU - DP,Lazada Master Account (ASC),7,0E-8,0E-8,0E-8
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,Others,15,0.16670000,1.00000000,0.83330000
2021-08-15,HN - Bac Tu Liem - NOR - DP,Others,2,0E-8,1.00000000,1.00000000
2021-08-15,HCM - Go Vap A - SOU - DP,Shopee Vietnam,333,0.01100000,0.32430000,0.28450000
2021-08-15,NAD - Nam Dinh - NOR,Shopee Vietnam,286,0.04170000,0.95450000,0.62150000
2021-08-15,LA - Long An - SOU,Shopee Vietnam,15,0E-8,0.66670000,0.53330000
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,Shopee Vietnam,191,0.05150000,0.95810000,0.38660000
2021-08-15,HCM - District 10 - SOU - DP,Shopee Vietnam,314,0.02060000,0.63060000,0.57650000
2021-08-15,HN - Ba Dinh - NOR - DP,Shopee Vietnam,892,0.03190000,0.98210000,0.53300000
2021-08-15,HN - Bac Tu Liem - NOR - DP,Shopee Vietnam,2450,0.02170000,1.00000000,0.80100000
2021-08-15,HCM - Phu Nhuan - SOU - DP,Shopee Vietnam,30,0E-8,0.50000000,0.42860000
2021-08-15,PTH - Tam Nong - NOR - SUB 2,Shopee Vietnam,22,0E-8,1.00000000,0.18180000
2021-08-15,SOL - Moc Chau - NOR - SUB 2,Shopee Vietnam,8,0E-8,1.00000000,0.87500000
2021-08-15,ANG - An Giang - SOU,Shopee Vietnam,1,0E-8,0E-8,0E-8
2021-08-15,DAK - Buon Ho - SOU - SUB 2,Shopee Vietnam,14,0E-8,1.00000000,0.85710000
2021-08-15,HCM - Binh Thanh 1 - SOU - DP,Shopee Vietnam,12,0E-8,0E-8,0E-8
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,Shopee Vietnam,517,0.05710000,0.99810000,0.58290000
2021-08-15,THH - Thanh Hoa - NOR,Shopee Vietnam,72,0.01390000,0.54170000,0.48610000
2021-08-15,HCM - Go Vap B - SOU - DP,Shopee Vietnam,69,0.01410000,0.21740000,0.19720000
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,Shopee Vietnam,507,0.05890000,0.99800000,0.49510000
2021-08-15,LAD - Bao Loc - SOU - SUB 2,Shopee Vietnam,28,0.03570000,1.00000000,0.57140000
2021-08-15,THH - Thanh Hoa - NOR,Tiki Marketplace,6,0.16670000,1.00000000,0.50000000
2021-08-15,HCM - District 10 - SOU - DP,Tiki Marketplace,3,0E-8,1.00000000,1.00000000
2021-08-15,NAD - Nam Dinh - NOR,Tiki Marketplace,9,0E-8,1.00000000,0.88890000
2021-08-15,HN - Ba Dinh - NOR - DP,Tiki Marketplace,11,0E-8,1.00000000,0.90910000
2021-08-15,HCM - Go Vap B - SOU - DP,Tiki Marketplace,2,0E-8,0E-8,0E-8
2021-08-15,HN - Thanh Xuan 2 - NOR - DP,Tiki Marketplace,13,0E-8,1.00000000,0.38460000
2021-08-15,HN - Thanh Xuan 1 - NOR - DP,Tiki Marketplace,26,0E-8,1.00000000,1.00000000
2021-08-15,HN - Bac Tu Liem - NOR - DP,Tiki Marketplace,26,0E-8,1.00000000,0.84620000
2021-08-15,HN - Hai Ba Trung 1 - NOR - DP,Tiki Marketplace,5,0E-8,1.00000000,1.00000000
2021-08-15,LAD - Bao Loc - SOU - SUB 2,Tiki Marketplace,5,0E-8,1.00000000,1.00000000
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,DS,56,0.14060000,1.00000000,0.79690000
2021-08-14,HCM - Go Vap B - SOU - DP,DS,10,0E-8,0E-8,0E-8
2021-08-14,HCM - District 10 - SOU - DP,DS,10,0.09090000,0.60000000,0.54550000
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,DS,34,0.28890000,1.00000000,0.55560000
2021-08-14,HN - Bac Tu Liem - NOR - DP,DS,63,0.16180000,1.00000000,0.67650000
2021-08-14,HCM - Go Vap A - SOU - DP,DS,2,0.33330000,0.50000000,0.33330000
2021-08-14,HN - Thanh Xuan 2 - NOR - DP,DS,26,0.07690000,1.00000000,0.57690000
2021-08-14,HN - Ba Dinh - NOR - DP,DS,189,0.04080000,0.97350000,0.91840000
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,EN,8,0E-8,1.00000000,1.00000000
2021-08-14,NAD - Nam Dinh - NOR,EN,23,0E-8,1.00000000,0.95650000
2021-08-14,HN - Bac Tu Liem - NOR - DP,EN,14,0.06670000,1.00000000,0.93330000
2021-08-14,LA - Long An - SOU,ES,1,0E-8,1.00000000,1.00000000
2021-08-14,LAD - Bao Loc - SOU - SUB 2,Lazada Master Account (ASC),20,0E-8,1.00000000,0.85000000
2021-08-14,HN - Thanh Xuan 1 - NOR - DP,Lazada Master Account (ASC),11,0E-8,1.00000000,0.54550000
2021-08-14,HN - Hai Ba Trung 1 - NOR - DP,Lazada Master Account (ASC),20,0E-8,0.95000000,0.70000000
2021-08-14,HN - Bac Tu Liem - NOR - DP,Lazada Master Account (ASC),73,0E-8,0.98630000,0.84930000
2021-08-14,THH - Thanh Hoa - NOR,Lazada Master Account (ASC),285,0.01050000,1.00000000,0.94040000
2021-08-14,HCM - District 10 - SOU - DP,Lazada Master Account (ASC),21,0E-8,0.85710000,0.85710000
