hub_id,hub_name,hub_region,province_code,hub_sector,area,created_month
103232,BD - Bau Bang 2 - SOU - SUB 2,South,BD,DNB,Non-Metro,2021-06
103276,LA - Can Duoc - SOU - SUB 2,South,LA,DNB,Non-Metro,2021-06
103266,DOT - Thap Muoi - SOU - SUB 2,South,DOT,MT,Non-Metro,2021-06
103267,HGI - Cay Duong - SOU - SUB 2,South,HGI,MT,Non-Metro,2021-06
199,HCM - Tan Phu 1 - SOU - DP,HCM,HCM,HCM,Metro,2017-10
213,QUA - Tam Ky - SOU,South,QUA,MTTN,Non-Metro,2017-10
179,HP - Holding - Covid,North,HP,DBSH,Non-Metro,2017-10
205,HCM - QBT 1 - SOU - DP,HCM,HCM,HCM,Metro,2017-10
201,HCM - Thu Duc 1 - SOU - DP,HCM,HCM,HCM,Metro,2017-10
211,BIT - Binh Thuan - SOU,South,BIT,DNB,Non-Metro,2017-10
203,HCM - District 8 - SOU - DP,HCM,HCM,HCM,Metro,2017-10
161,HAN - Ha Nam - NOR,North,HAN,DBSH,Non-Metro,2017-10
195,HN - Quoc Oai - NOR - SUB 2 - DP,HN,HN,HN,Metro,2017-10
177,DIB - Dien Bien - NOR,North,DIB,NMM,Non-Metro,2017-10
171,HCM - District 6 - SOU - DP,HCM,HCM,HCM,Metro,2017-10
175,SOL - Son La - NOR,North,SOL,NMM,Non-Metro,2017-10
165,TAN - Tay Ninh - SOU,South,TAN,DNB,Non-Metro,2017-10
173,HAT - Holding - Covid,North,HAT,BTB,Non-Metro,2017-10
181,NGA - Holding - Covid,North,NGA,BTB,Non-Metro,2017-10
189,HCM - Fleet - SOU,HCM,HCM,HCM,Metro,2017-10
183,HD - Holding - Covid,North,HD,DBSH,Non-Metro,2017-10
185,THH - Holding - Covid,North,THH,BTB,Non-Metro,2017-10
169,BN - Holding - Covid,North,BN,DBSH,Non-Metro,2017-10
163,HOB - Hoa Binh - NOR,North,HOB,NMM,Non-Metro,2017-10
191,HCM - District 9 B - SOU - DP,HCM,HCM,HCM,Metro,2017-10
209,HCM - Hoc Mon - SOU - DP,HCM,HCM,HCM,Metro,2017-10
361,BAG - Hiep Hoa - NOR - SUB 2,North,BAG,NMM,Non-Metro,2018-03
371,DN - Dinh Quan - SOU - SUB 2,South,DN,DNB,Non-Metro,2018-03
395,TRV - Tieu Can - SOU - SUB 2,South,TRV,MT,Non-Metro,2018-03
397,BIP - Phuoc Long - SOU - SUB 2,South,BIP,DNB,Non-Metro,2018-03
339,VIP - Lap Thach - NOR - SUB 2,North,VIP,DBSH,Non-Metro,2018-03
345,THN - Pho Yen - NOR - SUB 2,North,THN,NMM,Non-Metro,2018-03
347,THN - Phu Luong - NOR - SUB 2,North,THN,NMM,Non-Metro,2018-03
367,CAM - Thoi Binh - SOU - SUB 2,South,CAM,MT,Non-Metro,2018-03
381,QNG - Binh Son - SOU - SUB 2,South,QNG,MTTN,Non-Metro,2018-03
411,QUA - Nui Thanh - SOU - SUB 2,South,QUA,MTTN,Non-Metro,2018-03
319,BID - Quy Nhon - SOU,South,BID,MTTN,Non-Metro,2018-03
321,PHY - Tuy Hoa - SOU,South,PHY,MTTN,Non-Metro,2018-03
333,QUN - Tien Yen - NOR - SUB 2,North,QUN,DBSH,Non-Metro,2018-03
365,DIB - Muong Cha - NOR - SUB 2,North,DIB,NMM,Non-Metro,2018-03
387,NIT - Ninh Phuoc - SOU - SUB 2,South,NIT,MTTN,Non-Metro,2018-03
363,NIB - Gia Vien - NOR - SUB 2,North,NIB,DBSH,Non-Metro,2018-03
383,KOT - Ngoc Hoi - SOU - SUB 2,South,KOT,MTTN,Non-Metro,2018-03
415,LA - Duc Hoa - SOU - SUB 2,South,LA,DNB,Non-Metro,2018-03
331,QUN - Mong Cai - NOR,North,QUN,DBSH,Non-Metro,2018-03
355,THB - Hung Ha - NOR - SUB 2,North,THB,DBSH,Non-Metro,2018-03
393,VIL - Tra On - SOU - SUB 2,South,VIL,MT,Non-Metro,2018-03
401,BIP - Binh Long - SOU - SUB 2,South,BIP,DNB,Non-Metro,2018-03
323,KHH - NTR - SOU - DP,South,KHH,MTTN,Non-Metro,2018-03
329,BAG - Luc Ngan - NOR - SUB 2,North,BAG,NMM,Non-Metro,2018-03
325,TG - Cai Lay - SOU - SUB 2,South,TG,MT,Non-Metro,2018-03
335,QUN - Dong Trieu - NOR - SUB 2,North,QUN,DBSH,Non-Metro,2018-03
375,DAK - Lak - SOU - SUB 2,South,DAK,MTTN,Non-Metro,2018-03
399,BIP - Bu Dang - SOU - SUB 2,South,BIP,DNB,Non-Metro,2018-03
341,PTH - Thanh Ba - NOR - SUB 2,North,PTH,NMM,Non-Metro,2018-03
351,BAL - Gia Rai - SOU - SUB 2,South,BAL,MT,Non-Metro,2018-03
359,DIB - Tuan Giao - NOR - SUB 2,North,DIB,NMM,Non-Metro,2018-03
373,BET - Mo Cay Nam - SOU - SUB 2,South,BET,MT,Non-Metro,2018-03
385,LAD - Bao Loc - SOU - SUB 2,South,LAD,MTTN,Non-Metro,2018-03
403,BIT - Tuy Phong - SOU - SUB 2,South,BIT,DNB,Non-Metro,2018-03
337,QUN - Hai Ha - NOR - SUB 2,North,QUN,DBSH,Non-Metro,2018-03
353,BAL - Hong Dan - SOU - SUB 2,South,BAL,MT,Non-Metro,2018-03
379,QNG - Mo Duc - SOU - SUB 2,South,QNG,MTTN,Non-Metro,2018-03
357,PTH - Thanh Son - NOR - SUB 2,North,PTH,NMM,Non-Metro,2018-03
389,HGI - Long My - SOU - SUB 2,South,HGI,MT,Non-Metro,2018-03
391,HGI - Phung Hiep - SOU - SUB 2,South,HGI,MT,Non-Metro,2018-03
327,NIT - Phan Rang - SOU,South,NIT,MTTN,Non-Metro,2018-03
343,NAD - Hai Hau - NOR - SUB 2,North,NAD,DBSH,Non-Metro,2018-03
407,BIT - La Gi - SOU - SUB 2,South,BIT,DNB,Non-Metro,2018-03
413,BAG - Son Dong - NOR - SUB 2,North,BAG,NMM,Non-Metro,2018-03
405,BIT - Tanh Linh - SOU - SUB 2,South,BIT,DNB,Non-Metro,2018-03
349,ANG - Chau Doc - SOU - SUB 2,South,ANG,MT,Non-Metro,2018-03
369,CAM - Cai Nuoc - SOU - SUB 2,South,CAM,MT,Non-Metro,2018-03
377,DAK - Buon Ho - SOU - SUB 2,South,DAK,MTTN,Non-Metro,2018-03
409,KHH - Cam Ranh - SOU - SUB 2,South,KHH,MTTN,Non-Metro,2018-03
220,TUQ - Tuyen Quang - NOR,North,TUQ,NMM,Non-Metro,2017-11
224,QNG - Quang Ngai - SOU,South,QNG,MTTN,Non-Metro,2017-11
234,GIL - Gia Lai - SOU,South,GIL,MTTN,Non-Metro,2017-11
230,LAS - Lang Son - NOR,North,LAS,NMM,Non-Metro,2017-11
226,KOT - Kon Tum - SOU,South,KOT,MTTN,Non-Metro,2017-11
228,QUA - Hoi An - SOU,South,QUA,MTTN,Non-Metro,2017-11
216,HN - Ha Dong - NOR - DP,HN,HN,HN,Metro,2017-11
222,HN - Hoang Mai 1 - NOR - DP,HN,HN,HN,Metro,2017-11
218,LAC - Lai Chau - NOR,North,LAC,NMM,Non-Metro,2017-11
232,HAG - Ha Giang - NOR,North,HAG,NMM,Non-Metro,2017-11
1008,BN - Yen Phong - NOR - SUB 2,North,BN,DBSH,Non-Metro,2019-09
1038,SOL - Sop Cop - NOR - SUB 2,North,SOL,NMM,Non-Metro,2019-09
1053,LAS - Dinh Lap - NOR - SUB 2,North,LAS,NMM,Non-Metro,2019-09
1054,LAS - Huu Lung - NOR - SUB 2,North,LAS,NMM,Non-Metro,2019-09
1064,NGA - Quy Chau - NOR - SUB 2,North,NGA,BTB,Non-Metro,2019-09
1030,THH - Ba Thuoc - NOR - SUB 2,North,THH,BTB,Non-Metro,2019-09
1033,BAK - Ba Be - NOR - SUB 2,North,BAK,NMM,Non-Metro,2019-09
1037,HAG - Meo Vac - NOR - SUB 2,North,HAG,NMM,Non-Metro,2019-09
1039,HAG - Dong Van - NOR - SUB 2,North,HAG,NMM,Non-Metro,2019-09
1047,NGA - Tan Ky - NOR - SUB 2,North,NGA,BTB,Non-Metro,2019-09
