,hub_region,hub_sector,hub_id,hub_name,sl_rate,observation_num,mean,lower,upper,range,rider_no
0,HCM,HCM,74,HCM - Cu Chi - SOU - DP,0.93,130,1000.0,1000.0,1100.0,64.69608731217022,28.0
1,HCM,HCM,112,HCM - Binh Thanh 1 - SOU - DP,0.93,119,3600.0,3400.0,3800.0,359.1624104320035,42.0
2,HCM,HCM,116,HCM - District 10 - SOU - DP,0.93,133,3200.0,3100.0,3300.0,263.9666736092531,61.0
3,HCM,HCM,120,HCM - District 9 A - SOU - DP,0.93,56,1700.0,1700.0,1800.0,168.4721482009868,31.0
4,HCM,HCM,125,HCM - District 2 - SOU - DP,0.93,121,2100.0,2000.0,2200.0,167.06570847458363,32.0
5,HCM,HCM,130,HCM - Go Vap A - SOU - DP,0.93,106,6200.0,5900.0,6400.0,524.5841543934403,54.0
6,HCM,HCM,147,HCM - District 7 - SOU - DP,0.93,124,2600.0,2500.0,2700.0,194.87337186736295,48.0
7,HCM,HCM,155,HCM - District 12 A - SOU - DP,0.93,131,1900.0,1900.0,2000.0,138.95770681958356,27.0
8,HCM,HCM,171,HCM - District 6 - SOU - DP,0.93,135,2600.0,2500.0,2700.0,199.29894303908713,54.0
9,HCM,HCM,189,HCM - Fleet - SOU,0.93,53,1300.0,1100.0,1500.0,330.4754449966622,11.0
10,HCM,HCM,199,HCM - Tan Phu 1 - SOU - DP,0.93,125,4300.0,4200.0,4500.0,345.6611630591033,37.0
11,HCM,HCM,201,HCM - Thu Duc 1 - SOU - DP,0.93,128,3500.0,3400.0,3700.0,308.38994978487244,29.0
12,HCM,HCM,203,HCM - District 8 - SOU - DP,0.93,124,2300.0,2200.0,2400.0,153.96433300472927,34.0
13,HCM,HCM,205,HCM - QBT 1 - SOU - DP,0.93,123,3600.0,3500.0,3800.0,253.95405959817344,37.0
14,HCM,HCM,209,HCM - Hoc Mon - SOU - DP,0.93,133,1800.0,1700.0,1900.0,133.11720220668758,36.0
15,HCM,HCM,236,HCM - Phu Nhuan - SOU - DP,0.93,116,3000.0,2900.0,3200.0,233.0336121094233,34.0
16,HCM,HCM,238,HCM - Binh Chanh 2 - SOU - DP,0.93,112,1300.0,1200.0,1300.0,91.59169699230142,30.0
17,HCM,HCM,240,HCM - District 4 - SOU - DP,0.93,125,3100.0,2900.0,3200.0,282.3522227268386,70.0
18,HCM,HCM,242,HCM - Binh Chanh 1 - SOU - DP,0.93,123,900.0,900.0,1000.0,61.40927007484947,20.0
19,HCM,HCM,823,HCM - Tan Binh 1 - SOU - DP,0.93,130,4000.0,3900.0,4200.0,324.92725276337933,60.0
20,HCM,HCM,944,HCM - Can Gio 1 - SOU - DP,0.93,27,100.0,100.0,100.0,20.133721806434778,7.0
21,HCM,HCM,963,HCM - Can Gio 2 - SOU - DP,0.93,12,0.0,0.0,0.0,30.716212165607548,5.0
22,HCM,HCM,1203,HCM - District 12 B - SOU - DP,0.93,132,1100.0,1100.0,1200.0,86.66390232975823,13.0
23,HCM,HCM,1210,HCM - Nha Be - SOU - DP,0.93,102,800.0,800.0,900.0,50.16206453118093,18.0
24,HN,HN,80,HN - LOB - NOR - DP,0.93,131,3100.0,3000.0,3100.0,163.43265764605349,18.0
25,HN,HN,195,HN - Quoc Oai - NOR - SUB 2 - DP,0.93,128,800.0,700.0,800.0,66.92487025812989,8.0
26,HN,HN,216,HN - Ha Dong - NOR - DP,0.93,127,5900.0,5700.0,6100.0,348.0958186480948,34.0
