hub_id,hub_name,hub_region,province_code,created_month
936,HN - TSS - NOR - DP,HN,HN,2019-03
952,GIL - Dak Doa - SOU - SUB 2,South,GIL,2019-03
944,HCM - Can Gio 1 - SOU - DP,HCM,HCM,2019-03
948,GIL - Ia Grai - SOU - SUB 2,South,GIL,2019-03
932,LAD - Di Linh - SOU - SUB 2,South,LAD,2019-03
912,GIL - Ayun Pa - SOU - SUB 2,South,GIL,2019-03
920,QUA - Tien Phuoc - SOU - SUB 2,South,QUA,2019-03
924,QNG - Tra Bong - SOU - SUB 2,South,QNG,2019-03
928,DAN - Krong No - SOU - SUB 2,South,DAN,2019-03
916,DAK - Ea Sup - SOU - SUB 2,South,DAK,2019-03
940,SOT - Thanh Tri - SOU - SUB 2,South,SOT,2019-03
277,BD - Ben Cat - SOU - SUB 2,South,BD,2018-01
275,DN - Long Thanh - SOU - SUB 2,South,DN,2018-01
281,NGA - Nghe An - NOR,North,NGA,2018-01
289,CT - O Mon - SOU - SUB 2,South,CT,2018-01
283,QUN - Cam Pha - NOR,North,QUN,2018-01
285,QUN - Uong Bi - NOR,North,QUN,2018-01
291,HGI - Hau Giang - SOU,South,HGI,2018-01
287,DN - Long Khanh - SOU - SUB 2,South,DN,2018-01
301,TTH - Thua Thien Hue - NOR,North,TTH,2018-01
303,BAL - Bac Lieu - SOU,South,BAL,2018-01
279,HAT - Ha Tinh - NOR,North,HAT,2018-01
297,QUT - Quang Tri - NOR,North,QUT,2018-01
305,CAM - Ca Mau - SOU,South,CAM,2018-01
295,HN - Nam Tu Liem - NOR - DP,HN,HN,2018-01
299,QUB - Quang Binh - NOR,North,QUB,2018-01
62,THB - Thai Binh - NOR,North,THB,2017-04
58,VIL - Vinh Long - SOU,South,VIL,2017-04
1194,KHH - Khanh Son - SOU - SUB 2,South,KHH,2020-07
1203,HCM - District 12 B - SOU - DP,HCM,HCM,2020-07
1197,HN - Gia Lam - NOR - SUB 2 - DP,HN,HN,2020-07
1198,THN - Dai Tu - NOR - SUB 2,North,THN,2020-07
1202,DAK - Krong Bong - SOU - SUB 2,South,DAK,2020-07
1195,BET - Giong Trom - SOU - SUB 2,South,BET,2020-07
1196,LA - Duc Hue - SOU - SUB 2,South,LA,2020-07
1200,KOT - Tu Mo Rong - SOU - SUB 2,South,KOT,2020-07
1199,LAD - Dam Rong - SOU - SUB 2,South,LAD,2020-07
1201,DAK - Krong Ana - SOU - SUB 2,South,DAK,2020-07
437,DAK - Ea Kar - SOU - SUB 2,South,DAK,2018-04
441,LAD - Duc Trong - SOU - SUB 2,South,LAD,2018-04
421,HOB - Lac Thuy - NOR - SUB 2,North,HOB,2018-04
425,LCA - Bao Thang - NOR - SUB 2,North,LCA,2018-04
431,QUA - Bac Tra My - SOU - SUB 2,South,QUA,2018-04
429,DAN - Dak Mil - SOU - SUB 2,South,DAN,2018-04
445,THH - Tho Xuan - NOR - SUB 2,North,THH,2018-04
451,THH - Tinh Gia - NOR - SUB 2,North,THH,2018-04
423,SOL - Moc Chau - NOR - SUB 2,North,SOL,2018-04
427,QUA - Que Son - SOU - SUB 2,South,QUA,2018-04
449,THH - Bim Son - NOR - SUB 2,North,THH,2018-04
439,DAK - Buon Don - SOU - SUB 2,South,DAK,2018-04
433,GIL - An Khe - SOU - SUB 2,South,GIL,2018-04
435,HOB - Tan Lac - NOR - SUB 2,North,HOB,2018-04
443,HD - Kim Thanh - NOR - SUB 2,North,HD,2018-04
447,TG - Go Cong - SOU - SUB 2,South,TG,2018-04
417,TAN - Tan Bien - SOU - SUB 2,South,TAN,2018-04
419,TAN - Go Dau - SOU - SUB 2,South,TAN,2018-04
997,NGA - Nam Dan - NOR - SUB 2,North,NGA,2019-06
995,TAN - Ben Cau - SOU - SUB 2,South,TAN,2019-06
