Address City,Address Country,Area,Consol Hub,Country,Creation Datetime,Facility Type,Hub Sector,ID,Is Deleted,Is Delivery Hub,Last Mile Cutoff,Latitude,Longitude,Name,Parent Hub ID,Province Code,Region,Short Name,System ID,Sort Hub Flag,Virtual Hub Flag,Parent Hub Name,Sla Region,Created Month
Thừa Thiên Huế,VN,sub2,,vn,2018-07-10T14:26:43Z,STATION,BTB,687,0,1,12:00,16.266817,107.879252,TTH - Phu Loc - NOR - SUB 2,,TTH,North,Thừa Thiên Huế,vn,0,0,,Central,2018-07
Ha Noi,VN,,,vn,2018-07-20T11:19:33Z,OTHERS,HN,720,0,0,12:00,1.0,1.0,HN - Tiki LN - Pickup - NOR,,HN,HN,Hà Nội,vn,0,0,,HN,2018-07
Bắc Giang,VN,sub2,,vn,2018-03-18T20:15:35Z,STATION,NMM,361,0,1,12:00,21.333702,105.974277,BAG - Hiep Hoa - NOR - SUB 2,,BAG,North,Bắc Giang,vn,0,0,,North,2018-03
Ho Chi Minh,VN,,,vn,2021-04-20T11:40:05Z,CROSSDOCK,HCM,1278,0,,12:00,1.0,1.0,HCM - 3PL Thang Loi - SOU,,HCM,HCM,3PL Thang Loi,vn,0,0,,HCM,2021-04
Binh Phuoc,VN,sub2,,vn,2021-04-08T18:14:29Z,STATION,DNB,1277,0,,12:00,11.731665,106.869114,BIP - Phu Rieng - SOU - SUB 2,,BIP,South,Binh Phuoc,vn,0,0,,South,2021-04
Vn,vn,,,vn,2020-09-30T18:14:55Z,RECOVERY,HN,1225,0,,12:00,1.0,1.0,HN Hub Liable,,HN,HN,HN Hub Liable,vn,0,0,,HN,2020-09
HỒ ChÍ Minh,VN,metro,,vn,2021-07-14T08:34:10Z,STATION,Others,103337,1,,12:00,10.798471847,106.62189043,test,,tes,HCM,Hồ Chí Minh,vn,0,0,,HCM,2021-07
Cần Thơ,VN,sub2,,vn,2021-05-16T07:11:03Z,STATION,MT,103196,0,,12:00,10.1290199,105.4486374,CT - Co Do - SOU - SUB 2,,CT,South,Cần Thơ,vn,0,0,,South,2021-05
Hồ Chí Minh,VN,,,vn,2021-05-03T18:06:06Z,CROSSDOCK,HCM,1279,0,,12:00,10.765586,106.582483,HCM - Zone 4 - SOU,,HCM,HCM,Transit Hub_Southern,vn,0,0,,HCM,2021-05
binh duong,VN,sub1,,vn,2021-05-27T14:47:06Z,STATION,DNB,103224,0,,12:00,11.024032,106.6507,BD - Thu Dau Mot - SOU,,BD,South,Bình Dương,vn,0,0,,South,2021-05
HỒ ChÍ Minh,VN,,,vn,2021-05-04T15:52:33Z,CROSSDOCK,HCM,1283,0,,12:00,10.765586,106.582483,HCM - Zone 8 - SOU,,HCM,HCM,Transit Hub_Southern,vn,0,0,,HCM,2021-05
Thanh Hóa,VN,sub2,,vn,2019-10-11T21:52:48Z,STATION,BTB,1087,0,,12:00,20.459038,104.693845,THH - Muong Lat - NOR - SUB 2,,THH,North,Thanh Hóa,vn,0,0,,North,2019-10
Thai Nguyen,VN,sub2,,vn,2019-10-31T16:39:50Z,STATION,NMM,1092,0,,12:00,21.462095,105.979013,THN - Phu Binh - NOR - SUB 2,,THN,North,Thái Nguyên,vn,0,0,,North,2019-10
Ho Chi Minh,VN,,,vn,2019-10-31T18:08:46Z,OTHERS,HCM,1096,0,,12:00,1.0,1.0,HCM - Tiki VL - Pickup - SOU,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-10
Thanh Hóa,VN,sub2,,vn,2019-10-11T21:51:05Z,STATION,BTB,1084,0,,12:00,20.06354,105.389485,THH - Ngoc Lac - NOR - SUB 2,,THH,North,Thanh Hóa,vn,0,0,,North,2019-10
Ha Noi,VN,,,vn,2019-10-31T16:41:00Z,OTHERS,Others,1093,0,,12:00,1.0,1.0,Share Liability BAG: HN WH + Freight + EXP NOR,,Sha,HN,Hà Nội,vn,0,0,,HN,2019-10
Ho Chi Minh,VN,,,vn,2019-10-31T18:07:34Z,OTHERS,HCM,1094,0,,12:00,1.0,1.0,HCM - Tiki BD - Pickup - SOU,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-10
Nghhe An,VN,sub2,,vn,2019-10-02T10:56:08Z,STATION,BTB,1081,0,,12:00,19.324289,105.418643,NGA - Thai Hoa - NOR - SUB 2,,NGA,North,Nghệ An,vn,0,0,,North,2019-10
Ho Chi Minh,VN,,,vn,2019-10-31T18:09:57Z,OTHERS,HCM,1097,0,,12:00,1.0,1.0,HCM - Tiki NB - Pickup - SOU,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-10
Ho Chi Minh,VN,,,vn,2019-10-31T18:13:08Z,OTHERS,HCM,1101,0,,12:00,1.0,1.0,HCM - Sendo 247 - Pickup - SOU,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-10
Ho Chi Minh,VN,,,vn,2019-10-31T18:12:37Z,OTHERS,HCM,1100,0,,12:00,1.0,1.0,HCM - Sendo GHN - Pickup - SOU,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2019-10
Quang Binh,VN,sub2,,vn,2019-10-11T21:51:47Z,STATION,BTB,1085,0,,12:00,17.836659,105.976048,QUB - Minh Hoa - NOR - SUB 2,,QUB,North,Quảng Bình,vn,0,0,,Central,2019-10
Nghe An,VN,sub2,,vn,2019-10-11T21:52:21Z,STATION,BTB,1086,0,,12:00,18.691666,105.430748,NGA - Thanh Chuong - NOR - SUB 2,,NGA,North,Nghệ An,vn,0,0,,North,2019-10
