cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,parcels_attempt_ontime,parcels_attempt_late,attempt_day1_OTP,parcels_success_day1_ontime,parcels_success_day1_late,succcess_day1_OTP,parcels_success_day2_ontime,parcels_success_day2_late,succcess_day2_OTP,parcels_success_day3_ontime,parcels_success_day3_late,succcess_day3_OTP,volume_of_ontime_KPI,parcels_rts,rts_rate,volume_of_rts_KPI
7/31/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,152,0,1,122,30,0.802631579,133,19,0.875,140,12,0.921052632,152,10,0.065789474,152
7/31/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,762,16,0.979434447,666,112,0.856041131,731,47,0.939588689,742,36,0.953727506,778,34,0.043701799,778
7/30/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,67,15,0.817073171,57,25,0.695121951,62,20,0.756097561,65,17,0.792682927,82,3,0.037037037,81
7/30/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,619,11,0.982539683,560,70,0.888888889,579,51,0.919047619,592,38,0.93968254,630,44,0.06984127,630
7/29/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,158,10,0.94047619,7,161,0.041666667,28,140,0.166666667,62,106,0.369047619,168,121,0.720238095,168
7/29/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,616,5,0.99194847,44,577,0.070853462,110,511,0.177133655,318,303,0.512077295,621,567,0.913043478,621
7/28/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,159,3,0.981481481,11,151,0.067901235,45,117,0.277777778,52,110,0.320987654,162,110,0.683229814,161
7/28/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,786,5,0.993678887,38,753,0.048040455,109,682,0.137800253,305,486,0.385587863,791,732,0.925410872,791
7/27/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,246,3,0.987951807,72,177,0.289156627,81,168,0.325301205,99,150,0.397590361,249,121,0.487903226,248
7/27/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,880,44,0.952380952,219,705,0.237012987,271,653,0.293290043,328,596,0.354978355,924,588,0.636363636,924
7/26/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,159,4,0.975460123,147,16,0.901840491,149,14,0.914110429,150,13,0.920245399,163,9,0.055555556,162
7/26/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,882,40,0.956616052,836,86,0.906724512,857,65,0.929501085,869,53,0.942516269,922,43,0.046637744,922
7/25/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,143,1,0.993055556,130,14,0.902777778,130,14,0.902777778,130,14,0.902777778,144,10,0.06993007,143
7/25/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,578,1,0.998272884,542,37,0.936096718,546,33,0.943005181,546,33,0.943005181,579,32,0.055267703,579
7/24/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,207,6,0.971830986,195,18,0.915492958,198,15,0.929577465,199,14,0.9342723,213,11,0.051643192,213
7/24/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,888,10,0.988864143,836,62,0.930957684,859,39,0.956570156,860,38,0.957683742,898,35,0.038975501,898
7/23/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,441,3,0.993243243,371,73,0.835585586,394,50,0.887387387,398,46,0.896396396,444,37,0.083710407,442
7/23/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1473,68,0.95587281,1264,277,0.820246593,1443,98,0.936404932,1473,68,0.95587281,1541,63,0.040882544,1541
7/22/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,277,8,0.971929825,256,29,0.898245614,260,25,0.912280702,270,15,0.947368421,285,11,0.038596491,285
7/22/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1003,58,0.94533459,953,108,0.898209237,1032,29,0.972667295,1043,18,0.983034873,1061,17,0.01602262,1061
7/21/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,283,0,1,264,19,0.932862191,269,14,0.950530035,270,13,0.954063604,283,10,0.035335689,283
7/21/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1229,60,0.953452289,1197,92,0.928626843,1266,23,0.982156711,1275,14,0.989138867,1289,15,0.011636928,1289
7/20/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,227,1,0.995614035,204,24,0.894736842,209,19,0.916666667,214,14,0.938596491,228,14,0.061674009,227
7/20/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,909,34,0.963944857,863,80,0.915164369,924,19,0.979851538,930,13,0.98621421,943,13,0.01378579,943
7/19/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,304,1,0.996721311,267,38,0.875409836,281,24,0.921311475,282,23,0.924590164,305,17,0.056105611,303
7/19/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1620,43,0.974143115,1448,215,0.870715574,1622,41,0.975345761,1628,35,0.978953698,1663,34,0.020444979,1663
7/18/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,216,1,0.995391705,202,15,0.930875576,204,13,0.940092166,207,10,0.953917051,217,12,0.055299539,217
7/18/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,852,0,1,819,33,0.961267606,827,25,0.970657277,830,22,0.974178404,852,23,0.026995305,852
7/17/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,225,1,0.995575221,196,30,0.867256637,214,12,0.946902655,215,11,0.951327434,226,7,0.031390135,223
7/17/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,948,47,0.952763819,901,94,0.905527638,973,22,0.977889447,980,15,0.984924623,995,17,0.017085427,995
7/16/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,239,1,0.995833333,208,32,0.866666667,214,26,0.891666667,219,21,0.9125,240,18,0.076923077,234
7/16/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,966,33,0.966966967,912,87,0.912912913,971,28,0.971971972,978,21,0.978978979,999,22,0.022022022,999
7/15/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,285,0,1,258,27,0.905263158,264,21,0.926315789,268,17,0.940350877,285,15,0.053003534,283
7/15/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,954,35,0.964610718,859,130,0.868554095,960,29,0.970677452,968,21,0.978766431,989,22,0.022244692,989
7/14/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,237,1,0.995798319,203,35,0.852941176,218,20,0.915966387,221,17,0.928571429,238,11,0.046413502,237
7/14/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1074,29,0.973708069,973,130,0.882139619,1070,33,0.970081596,1078,25,0.977334542,1103,22,0.019945603,1103
